Category,Name of Data Element,Type,Example
School,Locale of institution,Categorical,"City: Large (population of 250,000 or more)"
School,Carnegie Classification -- basic,Categorical,Special Focus Two-Year: Health Professions
School,Carnegie Classification -- undergraduate profile,Categorical,"Two-year, higher full-time"
School,Carnegie Classification -- size and setting,Categorical,"Two-year, medium"
Academics,"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences.",Float,
Academics,Percentage of degrees awarded in Natural Resources And Conservation.,Float,
Academics,Percentage of degrees awarded in Architecture And Related Services.,Float,
Academics,"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies.",Float,
Academics,"Percentage of degrees awarded in Communication, Journalism, And Related Programs.",Float,
Academics,Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.,Float,
Academics,Percentage of degrees awarded in Computer And Information Sciences And Support Services.,Float,
Academics,Percentage of degrees awarded in Personal And Culinary Services.,Float,
Academics,Percentage of degrees awarded in Education.,Float,
Academics,Percentage of degrees awarded in Engineering.,Float,
Academics,Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.,Float,
Academics,"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics.",Float,
Academics,Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.,Float,
Academics,Percentage of degrees awarded in Legal Professions And Studies.,Float,
Academics,Percentage of degrees awarded in English Language And Literature/Letters.,Float,
Academics,"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities.",Float,
Academics,Percentage of degrees awarded in Library Science.,Float,
Academics,Percentage of degrees awarded in Biological And Biomedical Sciences.,Float,
Academics,Percentage of degrees awarded in Mathematics And Statistics.,Float,
Academics,Percentage of degrees awarded in Military Technologies And Applied Sciences.,Float,
Academics,Percentage of degrees awarded in Multi/Interdisciplinary Studies.,Float,
Academics,"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies.",Float,
Academics,Percentage of degrees awarded in Philosophy And Religious Studies.,Float,
Academics,Percentage of degrees awarded in Theology And Religious Vocations.,Float,
Academics,Percentage of degrees awarded in Physical Sciences.,Float,
Academics,Percentage of degrees awarded in Science Technologies/Technicians.,Float,
Academics,Percentage of degrees awarded in Psychology.,Float,
Academics,"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",Float,
Academics,Percentage of degrees awarded in Public Administration And Social Service Professions.,Float,
Academics,Percentage of degrees awarded in Social Sciences.,Float,
Academics,Percentage of degrees awarded in Construction Trades.,Float,
Academics,Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.,Float,
Academics,Percentage of degrees awarded in Precision Production.,Float,
Academics,Percentage of degrees awarded in Transportation And Materials Moving.,Float,
Academics,Percentage of degrees awarded in Visual And Performing Arts.,Float,
Academics,Percentage of degrees awarded in Health Professions And Related Programs.,Float,
Academics,"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services.",Float,
Academics,Percentage of degrees awarded in History.,Float,
Demographic,Total share of enrollment of undergraduate degree-seeking students who are white,Float,
Demographic,Total share of enrollment of undergraduate degree-seeking students who are black,Float,
Demographic,Total share of enrollment of undergraduate degree-seeking students who are Hispanic,Float,
Demographic,Total share of enrollment of undergraduate degree-seeking students who are Asian,Float,
Demographic,Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native,Float,
Demographic,Total share of enrollment of undergraduate degree-seeking students who are Native Hawaiian/Pacific Islander,Float,
Demographic,Total share of enrollment of undergraduate degree-seeking students who are two or more races,Float,
Demographic,Total share of enrollment of undergraduate degree-seeking students who are non-resident aliens,Float,
Demographic,Total share of enrollment of undergraduate degree-seeking students whose race is unknown,Float,
Demographic,Total share of enrollment of undergraduate degree-seeking students who are white non-Hispanic,Float,
Demographic,Total share of enrollment of undergraduate degree-seeking students who are black non-Hispanic,Float,
Demographic,Total share of enrollment of undergraduate degree-seeking students who are Asian/Pacific Islander,Float,
Demographic,Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native,Float,
Demographic,Total share of enrollment of undergraduate degree-seeking students who are Hispanic,Float,
Demographic,Total share of enrollment of undergraduate degree-seeking students who are men,Float,
Demographic,Total share of enrollment of undergraduate degree-seeking students who are women,Float,
Demographic,"Share of undergraduate, degree-/certificate-seeking students who are part-time",Float,
Cost,Average net price for Title IV institutions (public institutions),Float,
Cost,Average cost of attendance (academic year institutions),Float,
Completion,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion)",Float,
Completion,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion)",Float,
Aid,Percent of all undergraduate students receiving a federal student loan,Float,
